city,Population
,
Chicago,"2,695,598"
Orlando,"238,300"
Memphis,"646,889"
Phoenix,"1,445,632"
Las Vegas,"583,756"
San Antonio,"1,327,407"
Louisville,"597,337"
Dallas,"1,197,816"
Houston,"2,099,451"
Fort Wayne,"253,691"
Atlanta,"420,003"
Indianapolis,"820,445"
Austin,"790,390"
Kansas City,"459,787"
Arlington,"365,438"
San Jose,"945,942"
Albuquerque,"545,852"
Jacksonville,"821,784"
Santa Ana,"324,528"
Tulsa,"391,906"
Lincoln,"258,379"
Stockton,"291,707"
Anchorage,"291,826"
Buffalo,"261,310"
San Diego,"1,307,402"
Mobile,"195,111"
Greensboro,"269,666"
Durham,"228,330"
Detroit,"713,777"
St. Petersburg,"244,769"
Philadelphia,"1,526,006"
Long Beach,"462,257"
Lexington,"295,803"
Aurora,"325,078"
Jersey City,"247,597"
Plano,"259,841"
Colorado Springs,"416,427"
Toledo,"287,208"
El Paso,"649,121"
Laredo,"236,091"
Nashville,"601,222"
Oklahoma City,"579,999"
Henderson,"257,729"
Chandler,"257,729"
Denver,"600,158"
Riverside,"303,871"
Bakersfield,"347,483"
Boston,"617,594"
Cincinnati,"296,943"
Pittsburgh,"305,704"
Columbus,"787,033"
Raleigh,"403,892"
Corpus Christi,"305,215"
Charlotte-Mecklenburg,"731,424"
New Orleans,"343,829"
San Francisco,"805,235"
Seattle,"608,660"
St. Louis,"319,294"
Honolulu,"953,207"
Wichita,"382,368"
Virginia Beach,"437,994"
Newark,"277,140"
Los Angeles,"9,818,605"
Chula Vista,"242,180"
Portland,"583,776"
Tucson,"520,116"
Anaheim,"336,265"
Cleveland,"396,815"
Minneapolis,"382,578"
Sacramento,"466,488"
Fresno,"494,665"
Fort Worth,"741,206"
Oakland,"390,724"
Washington,"658,893"
New York,"8,175,133"
Omaha,"408,958"
Miami,"399,457"
Baltimore,"620,961"
Milwaukee,"947,735"
